List_Number,Name,Category,Type,MW,Density,Temperature,Refractive_Index,Melting_Point,Pressure,Boiling_Point,Dielectric_Constant
674,Diisobutyl Adipate,ester,None,258.36,0.953,20,1.4315,-17,760,282,5.19
875,"1,2-Dibromo Tetraflouroethane",alkane,None,259.83,2.163,25,1.367,-110.5,0,47.3,2.34
876,Hexachloroacetone,ketone,None,264.77,1.744,12,0,-30,0,203,0
877,Tribromo Ethylene,alkene,None,264.78,2.708,20.5,1.6345,0,0,163.5,0
878,"1,1,2,3,4,4-Hexachlorobutane",alkane,None,264.82,1.646,20,1.5258,0,10,111,0
879,Tri-N-Butyl Phosphate,ester,None,266.32,0.976,25,1.4226,-79,0,289,7.96
880,"1,1,2-Tribromoethane",alkane,None,266.79,2.5789,0,1.5933,-35.5,0,188.5,0
881,Tetramethyl Lead,other,None,267.33,1.995,20,1.512,-27.5,0,110,0
882,Diiodomethane,alkane,None,267.83,3.3078,25,1.738,6.1,0,182,5.32
883,Dibutyl Phthalate,ester,None,278.35,1.0465,20,1.4926,-35,0,340,6.44
884,"1,1,2-Tribromo Propane",alkane,None,280.8,2.3548,20,1.579,0,760,200.5,0
885,"1,2,2-Tribromo Propane",alkane,None,260.8,2.2985,20,1.567,0,760,190.5,0
886,"1,2,3-Tribromo Propane",alkane,None,280.8,2.4209,20,1.5862,16.9,760,222.2,0
887,"1,1-Diiodoethane",alkane,None,281.86,2.84,0,1.673,2.8,0,179.5,0
888,Oleic Acid,acid,None,282.47,0.887,25,1.4582,13.4,0,360,2.46
889,1-Bromo-2-Iodobenzene,aromatic,None,282.92,2.2571,25,1.6618,8,0,257,0
890,1-Bromo-3-Iodobenzene,aromatic,None,282.92,2.222,25,1.6608,-9,754,252,0
891,1-Chloro Octadecane,alkane,None,288.95,0.8586,25,1.4525,19,2,158,0
892,1-Bromo Pentadecane,alkane,None,291.32,0.9999,25,1.4592,18.6,80,172,0
893,"1,2,3-Tribromo-2-Methyl Propane",alkane,None,294.65,2.175,0,1.5652,0,0,223.5,0
894,"1,2,4-Tribromo Butane",alkane,None,294.83,2.17,20,1.5608,-18,760,215,0
895,"2,2,3-Tribromo Butane",alkane,None,294.83,2.1724,20,1.5602,-1.9,760,206,0
